,DQF-00358,DQF-00248,DAF-00396,DHF-01055,DHF-01159,DAF-00280,DAF-00349,DAF-00442,DHF-01440,DAF-00351,DAF-00416,DCF-00198,DCF-00199,DCF-00104,DAF-00482,DCF-00197,DC2-00001,DAF-00367,DAF-00281,DAF-00419,DHF-01444,DAF-00437,DAF-00350,DHF-01540,DHF-01528,DCF-00173,DHF-01332,DHF-01334,DHF-01030,DAF-00283,DDF-00078,DHF-00847,DAF-00375,DAF-00399,DAF-00420,DAF-00443,DAF-00288,DAF-00502,DAF-00498,DHF-01406,DQF-00362,DAF-00517,DAF-00518,DAF-00491,DAF-00444,DHF-01530,DAF-00516,DAF-00512,DHF-01437,DAF-00284,DCF-00206,DHF-01436,DDF-00122,DHF-01438,DAF-00499,DAF-00488,DHF-01439,DHF-01441,DHF-01038,DHF-01550,DCF-00203,DAF-00451,DHF-01333,DAF-00448,DHF-01031,DAF-00460,DHF-00826,DAF-00464,DHF-01242,DAF-00385,DAF-00449,DHF-01529,DHF-01029,DHF-01037,DAF-00465,DHF-00927,DAF-00462,DHF-00881,DCF-00205,DAF-00450,DCF-00204,DAF-00504,DR5-00001,DHF-01331,DHF-01512,DCF-00252,DHF-01056,DAF-00255,DHF-00533,DAF-00503,DHF-00890,DHF-00905,DHF-00904,DHF-00894,DCF-00253,DHF-01080,DCF-00087,DCF-00085,DCF-00086,DCF-00254,DHF-00907
DQF-00358,1.0,0.4,0.0,0.05,0.1,0.0,0.0,0.06666666666666667,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.08333333333333333,0.06666666666666667,0.0,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DQF-00248,0.4,1.0,0.6363636363636364,0.0,0.08450704225352113,0.7586206896551724,0.6974063400576369,0.6060606060606061,0.3684210526315789,0.6019417475728155,0.7828947368421053,0.0,0.0,0.10606060606060606,0.6956521739130435,0.0,0.36363636363636365,0.6153846153846154,0.7090909090909091,0.7833333333333333,0.3333333333333333,0.8,0.6391752577319587,0.0,0.10759493670886076,0.23333333333333334,0.0784313725490196,0.0,0.0425531914893617,0.5813953488372093,0.5,0.7575757575757576,0.6619718309859155,0.5909090909090909,0.546875,0.5925925925925926,0.6501547987616099,0.7435897435897436,0.7307692307692307,0.676056338028169,0.026845637583892617,0.07329842931937172,0.03571428571428571,0.7758620689655172,0.6486486486486487,0.0410958904109589,0.0,0.0,0.08333333333333333,0.6153846153846154,0.0,0.054945054945054944,0.0,0.0625,0.75,0.64,0.1,0.0,0.0,0.0,0.0,0.6923076923076923,0.09090909090909091,0.6701030927835051,0.0,0.696078431372549,0.14285714285714285,0.8055555555555556,0.5333333333333333,0.5652173913043478,0.52,0.0,0.07317073170731707,0.0,0.6086956521739131,0.0,0.7333333333333333,0.0,0.0,0.49411764705882355,0.0,0.52,0.10344827586206896,0.0,0.0743801652892562,0.0,0.0,0.0,0.0,0.696969696969697,0.0,0.0,0.0,0.0,0.03529411764705882,0.0,0.0,0.0784313725490196,0.0,0.0,0.0
DAF-00396,0.0,0.6363636363636364,1.0,0.0,0.0,0.10344827586206896,0.09090909090909091,0.11363636363636363,0.0,0.11363636363636363,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.1590909090909091,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.1590909090909091,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHF-01055,0.05,0.0,0.0,1.0,0.5950413223140496,0.0,0.0,0.0,0.0,0.0,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4049586776859504,0.4793388429752066,0.30357142857142855,0.0,0.0,0.6859504132231405,0.24390243902439024,0.3684210526315789,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.06976744186046512,0.0,0.0
DHF-01159,0.1,0.08450704225352113,0.0,0.5950413223140496,1.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04929577464788732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.0,0.04225352112676056,0.31690140845070425,0.4084507042253521,0.21428571428571427,0.0,0.0,0.45774647887323944,0.12195121951219512,0.42105263157894735,0.0,0.0,0.0,0.0,0.12162162162162163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03305785123966942,0.0,0.45,0.3870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00280,0.0,0.7586206896551724,0.10344827586206896,0.0,0.0,1.0,0.1724137931034483,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.1724137931034483,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.18181818181818182,0.0,0.1111111111111111,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00349,0.0,0.6974063400576369,0.09090909090909091,0.0,0.0,0.1724137931034483,1.0,0.26515151515151514,0.0,0.33980582524271846,0.09868421052631579,0.0,0.0,0.0,0.4,0.0,0.0,0.19230769230769232,0.21818181818181817,0.15833333333333333,0.0,0.12,0.5979381443298969,0.0,0.0,0.0,0.0,0.0,0.0,0.32558139534883723,0.2,0.0,0.3380281690140845,0.2727272727272727,0.09375,0.2962962962962963,0.25386996904024767,0.2564102564102564,0.19230769230769232,0.056338028169014086,0.0,0.0,0.0,0.25862068965517243,0.24324324324324326,0.0,0.0,0.0,0.0,0.2692307692307692,0.0,0.03296703296703297,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15463917525773196,0.0,0.18627450980392157,0.0,0.1388888888888889,0.1,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00442,0.06666666666666667,0.6060606060606061,0.11363636363636363,0.0,0.022727272727272728,0.0,0.26515151515151514,1.0,0.0,0.14563106796116504,0.030303030303030304,0.0,0.0,0.0,0.06956521739130435,0.0,0.0,0.23076923076923078,0.07272727272727272,0.041666666666666664,0.0,0.0,0.10309278350515463,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.09090909090909091,0.056338028169014086,0.18181818181818182,0.140625,0.0,0.19696969696969696,0.1282051282051282,0.0,0.056338028169014086,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.12878787878787878,0.0,0.10784313725490197,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12941176470588237,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHF-01440,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00351,0.0,0.6019417475728155,0.11363636363636363,0.0,0.0,0.0,0.33980582524271846,0.14563106796116504,0.0,1.0,0.02912621359223301,0.0,0.0,0.0,0.1941747572815534,0.0,0.0,0.0,0.07272727272727272,0.038834951456310676,0.0,0.0,0.24742268041237114,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.056338028169014086,0.22727272727272727,0.078125,0.25925925925925924,0.2524271844660194,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.16216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.1262135922330097,0.0,0.10784313725490197,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07058823529411765,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
